発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2006-03-03,カルチャーブレーン,闘牌伝説「アカギ」～闇に舞い降りた天才～,0,0,TBL,"￥5,040","￥5,000代",0,,,,梅原隆弘,タニウチヒデキ,高屋敷英夫|筆安一幸|浦畑達彦|広田光毅,,
2006-03-23,バンプレスト,クレヨンしんちゃん伝説を呼ぶオマケの都ショックガーン！,0,0,ACT,?,?,0,,,,,,,,
2006-03-23,コナミ,パワポケダッシュ,0,0,SPT,"￥5,229","￥5,000代",0,,,,,,,,
2006-03-23,スティング,ユグドラ・ユニオン,0,0,RPG,"￥6,090","￥6,000代",0,,伊藤真一,,きゆづきさとこ|戸部淑,足立美奈子|林茂樹,,,
2006-03-23,マーベラスインタラクティブ,魔法先生ネギま！プライベートレッスン2お邪魔しますうパラサイトでチュ～,0,0,RPG,?,?,0,,,,,,,,
2006-04-06,任天堂,アイシールド21DEVILBATSDEVILDAYS,0,0,ADV,"￥3,800","￥4,000代",0,,,,,,,,
2006-04-06,サクセス,みんなのソフトシリーズナンプレアドバンス,0,0,PZL,?,?,0,,,,,,,,
2006-04-20,任天堂,MOTHER3,0,0,RPG,"￥4,800","￥5,000代",0,,井上信行,平石有孝|相京正樹,糸井重里|今川伸浩,酒井省吾,糸井重里,亀岡慎一|田邊賢輔|寺崎啓祐,
2006-05-18,コナミデジタルエンタテインメント,アニマル横町～どき☆どき進級試験！の巻～,0,0,PZL,"￥4,179","￥4,000代",0,,,,,,,,
2006-05-18,任天堂,カルチョビット,0,0,SLG,"￥3,800","￥4,000代",0,,,,,,,,
2006-07-06,THQジャパン,カーズ,0,0,RCG,"￥3,990","￥4,000代",0,,,,,,,,
2006-07-13,任天堂,bitGenerationsシリーズ1ダイアルヘックス,0,0,PZL,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-13,任天堂,bitGenerationsシリーズ1ドットストリーム,0,0,RCG,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-13,任天堂,bitGenerationsシリーズ1バウンディッシュ,0,0,ACT,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-27,任天堂,bitGenerationsシリーズ2オービタル,0,0,ACT,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-27,任天堂,bitGenerationsシリーズ2カラリス,0,0,PZL,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-27,任天堂,bitGenerationsシリーズ2サウンドボイジャー,0,0,ACT,"￥2,000","￥2,000代",0,,,,,,,,
2006-07-27,任天堂,bitGenerationsシリーズ2テジドライブ,0,0,ACT,"￥2,000","￥2,000代",0,,,,,,,,
2006-08-03,任天堂,リズム天国,0,0,ETC,"￥3,800","￥4,000代",0,,大澤和義,大澤和義,竹内高,つんく♂|米政美,,つんく♂|坂本賀勇,
2006-10-02,スクウェア・エニックス,FINALFANTASYVADVANCE,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
2006-11-30,スクウェア・エニックス,FINALFANTASYVIADVANCE,0,0,RPG,"￥5,040","￥5,000代",0,,,,,,,,
