発売年,メーカー,タイトル,ハード,ジャンル,容量(bit),価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1984-01-01,ナムコ,ワープ＆ワープ,MSX,-,8K,"￥4,500","￥4,500代",1,Mirrored,,,深谷正一|大森田不可止,小野浩,慶野由利子|小沢純子|大野木宜幸,,,
1985-01-01,日本コロムビア,ワイルドキャット,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1984-01-01,コナミ,わんぱくアスレチック(ATHLETICLAND),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,マイクロキャビン,亜空戦記グリフォン,MSX2,-,2M,"￥6,800","￥7,000代",1,?,,,,,,,,
1986-01-01,コナミ,悪魔城ドラキュラ(VAMPIREKILLER),MSX2,-,1M,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1980-01-01,東芝/東芝ＥＭＩ,宛名書き,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,カシオ,闇の竜王ハデスの紋章,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,伊賀忍法帖,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,カシオ,伊賀忍法帖満月城の戦い,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1991-01-01,光栄,伊忍道打倒信長,MSX2,-,8M,￥,￥0代,1,koei+SRAM,,,,,若桑比織,,シブサワ・コウ,
1988-01-01,パック・イン・ビデオ,井出洋介名人の実戦麻雀,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,カシオ,一寸法師のどんなもんだい,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,光栄,維新の嵐,MSX2,-,4M,￥,￥0代,1,koei+SRAM,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1985-01-01,東芝/東芝ＥＭＩ,宇宙戦士「隼」(MOONSWEEPER),MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,タイトー／ニデコ,影の伝説,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,小倉久佳,,,
1984-01-01,ＨＡＬ研究所,泳いでタンゴ,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,英文ワードプロセッサ,MSX,-,不明,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1985-01-01,東芝/東芝ＥＭＩ,王家の谷(KING'SVALLEY),MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,カシオ,王家の谷(KING'SVALLEY),MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,コナミ,王家の谷(KING'SVALLEY),MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,コナミ,王家の谷エルギーザの封印(KING'SVALLEYII),MSX2,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1988-01-01,コナミ,王家の谷2エルギーザの封印(KING'SVALLEYII),MSX,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1984-01-01,リットーミュージック,音感トレーニング,MSX,-,不明,"￥4,800","￥5,000代",1,?,,,,,,,,
1987-01-01,コナミ,火の鳥鳳凰編,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,LOVELY HIDEKI,LOVELY HIDEKI,霜出健治,水谷郁|前沢秀憲|山下絹代,,,
1984-01-01,東芝/東芝ＥＭＩ,花札,MSX,-,32K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1984-01-01,RAMソフト,花札コイコイ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ザインソフト,牙龍王,MSX2,-,2M,"￥6,400","￥6,500代",1,ASCII_8KB,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,絵葉書用ワープロ,MSX2,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1988-01-01,グレイト,学園物語,MSX2,-,2M,￥,￥0代,1,ASCII_16KB,,,,,,,,
1980-01-01,ストラッドフォード,楽しい算数,不明,-,不明,￥,￥0代,1,?,,Anton Prydatko(Guy),Anton Prydatko|Alexander J. Lin|Matthew Dale|Michael Miko,Character Design :|シエラ|Visual Design :|Anton Prydatko(Guy)|Sound Design :|ak+q|N²|Design Support :|Khronetic,,,Anton Prydatko(Guy),
1985-01-01,ビクター音産,漢字ROM,MSX,-,1M,"￥29,800","￥30,000代",1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,漢字カセットラベラ,MSX,-,不明,"￥7,800","￥8,000代",1,?,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,漢字テロッパ,MSX,-,不明,"￥25,000","￥25,000代",1,?,,,,,,,,
1984-01-01,ヤマハ,漢字ワープロユニット,MSX,-,不明,"￥49,800","￥50,000代",1,?,,,,,,,,
1984-01-01,松下電器産業,漢字ワープロユニット,MSX,-,不明,"￥49,800","￥50,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,漢字住所録,MSX,-,不明,"￥7,800","￥8,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,漢字枠組自在,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1985-01-01,マイクロキャビン,管理馬券,MSX,-,不明,"￥3,500","￥3,500代",1,?,,,,,,,,
1984-01-01,ハドソン,簡易言語データ君,MSX,-,不明,"￥12,800","￥13,000代",1,?,,,,,,,,
1985-01-01,ソニー,頑張れトラックボーイペイロード,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ソニー,奇々怪界,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,波多野幹夫,石田一朋|佐々木大輔,薮崎久也|西村年幸|三方一哉,小倉久佳(ZUNTATA),,,
1987-01-01,ソニー,棋聖,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,バンダイ,機動戦士ガンダム,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,安彦良和|大河原邦男,渡辺岳夫|松山祐士,星山博之|松崎健一|荒木芳久|山本優|富野喜幸,,
1986-01-01,ＨＡＬ研究所,機動惑星スティルス,MSX,-,32K,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,チャンピオンソフト,詰碁120関西棋院監修,MSX,-,1M,"￥8,000","￥8,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,ポニーキャニオン,居眠り流阿佐田哲也のA級麻雀,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1984-01-01,バンダイ,銀河漂流バイファム,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,芦田豊雄|大河原邦男,渡辺俊幸,神田武幸|星山博之|原案:矢立肇|富野由悠季,,
1985-01-01,東芝/東芝ＥＭＩ,軍人将棋軍神マース,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,エニックス,軽井沢誘拐案内,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,堀井雄二,堀井雄二,堀井雄二,,堀井雄二,,
1989-01-01,コナミ,激突ペナントレース2,MSX2,-,1M,"￥6,800","￥7,000代",1,Konami58KB(SCC),,,,,,,,
1986-01-01,カシオ,賢者の石,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,五目ならべ,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,功夫大君,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ポニーキャニオン,孔雀王,MSX2,-,2M,"￥5,800","￥6,000代",1,?,,,,越智博之(1)|摩砂雪(2)|岸田隆宏(3)|小池健|阿部恒,,荻野真,,
1986-01-01,ハドソン,高橋名人の冒険島,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,コナミ,魂斗羅,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,廣下宏治,岡本覚|辻本英之|KOICHI COBRA,中村健吾,村岡一樹,,,
1987-01-01,コナミ,沙羅曼蛇,MSX,-,1M,"￥6,800","￥7,000代",1,Konami58KB(SCC),,,町口浩康|たけもとみつお|高取利明|みのわいくこ,町口浩康|櫻井潤|よしたかみき|ばんどういくこ,波多野よしあき(SE・プログラム)|東野美紀(作曲),,,
1988-01-01,マイクロキャビン,殺人倶楽部,MSX2,-,4M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1989-01-01,ナツメ,三つ目がとおる,MSX,-,1M,"￥7,800","￥8,000代",1,ASCII_8KB,,,,清山滋崇|宇田川一彦|山根公利,渡辺俊幸,手塚治虫(原作)|藤澤勇希(脚本),,
1986-01-01,光栄,三國志,MSX,-,2M,"￥12,800","￥13,000代",1,koei+SRAM,,,,,,,,
1988-01-01,光栄,三國志,MSX2,-,4M,￥,￥0代,1,koei+SRAM,,,,,,,,
1991-01-01,光栄,三國志Ⅱ,MSX2,-,8M,￥,￥0代,1,koei+SRAM,,,,,向谷実,,シブサワ・コウ,
1986-01-01,カシオ,仔猫の大冒険チビちゃんがいく,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,松下電器産業,辞書データ,MSX,-,1M,￥,￥0代,1,[辞書データ] rom,,,,,,,,
1987-01-01,システムソフト,上海,MSX2,-,1M,￥,￥0代,1,ASCII_16KB,,,,,,,,
1987-01-01,ビクター音産,死霊戦線,MSX2,-,2M,"￥8,800","￥9,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,ソニー,実戦四人麻雀,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1985-01-01,松下電器産業,住所録/名刺管理ソフト,MSX,-,不明,"￥8,800","￥9,000代",1,?,,,,,,,,
1986-01-01,ソニー,渋滞パニックトラフィック,MSX,-,不明,"￥4,900","￥5,000代",1,?,,,,,,,,
1987-01-01,ランダムハウス,獣神ローガス,MSX,-,不明,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,ポニーキャニオン,将棋,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,マイクロ・キャビン,将棋(SHOGI),MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,東芝/東芝ＥＭＩ,将棋名人,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,日本デクスタ,将軍,MSX,-,1M,"￥7,800","￥8,000代",1,ASCII_8KB+SRAM,,,,,,,,
1989-01-01,光栄,信長の野望戦国群雄伝,MSX2,-,4M,"￥11,800","￥12,000代",1,koei+SRAM,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1991-01-01,光栄,信長の野望武将風雲録,MSXTurboR,-,8M,"￥11,800","￥12,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1987-01-01,光栄,信長の野望全国版,MSX2,-,4M,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1987-01-01,光栄,信長の野望全国版,MSX,-,2M,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1986-01-01,コナミ,新世SIZER,MSX,-,32K,"￥6,800","￥7,000代",1,[新世SIZER] rom,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,森田和郎のオセロ,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,Anton Prydatko(Guy),Anton Prydatko|Alexander J. Lin|Matthew Dale|Michael Miko,Character Design :|シエラ|Visual Design :|Anton Prydatko(Guy)|Sound Design :|ak+q|N²|Design Support :|Khronetic,,,Anton Prydatko(Guy),
1985-01-01,東芝/東芝ＥＭＩ,人魚伝説,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,作詞: 岡田冨美子|作曲: 浜圭介,,,
1989-01-01,光栄,水滸伝天命の誓い,MSX2,-,4M,￥,￥0代,1,koei+SRAM,,,,,木下伸司|三井一正|滝沢洋一,,シブサワ・コウ,
1984-01-01,タイトー／ニデコ,雀フレンド,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,,,,,
1985-01-01,宇宙堂,雀華,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ソニー,雀聖,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB+SRAM,,,,,ラミン・ジャヴァディ,デイヴィッド・ベニオフ | D・B・ワイス,,
1987-01-01,テクノソフト,雀友,MSX,-,32K,"￥5,400","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,ピクセル,生命惑星M36生きていたマザーブレイン,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ソニー,聖飢魔IIスペシャル悪魔の逆襲,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,アイレム／アスキー,聖拳アチョー,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,西山隆志[注 1],,,津村建二,
1987-01-01,アスキー,戦場の狼,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,藤原得郎,河本圭代,,,
1986-01-01,アスキー,戦場の狼,MSX2,-,1M,"￥5,980","￥6,000代",1,?,,,,藤原得郎,河本圭代,,,
1984-01-01,アスキー,倉庫番,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,今林宏行,,,,
1985-01-01,ポニーキャニオン,窓ふき会社のスイングくん,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1992-01-01,光栄,蒼き狼と白き牝鹿元朝秘史,MSX2,-,8M,￥,￥0代,1,koei+SRAM,,,,,大島ミチル,,シブサワ・コウ,
1988-01-01,光栄,蒼き狼と白き牝鹿ジンギスカン,MSX,-,2M,"￥9,800","￥10,000代",1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1988-01-01,光栄,蒼き狼と白き牝鹿ジンギスカン,MSX2,-,4M,￥,￥0代,1,koei+SRAM,,,,,菅野よう子,,シブサワ・コウ,
1986-01-01,マイクロキャビン,大戦略,MSX2,-,1M,￥,￥0代,1,ASCII_16KB+SRAM,,,,,,,,
1987-01-01,ファルコム,太陽の神殿アステカⅡ,MSX2,-,2M,"￥7,800","￥8,000代",1,ASCII_8KB,,加藤正幸,橋本昌哉,山根ともお|横山宏,阿部隆人,宮本恒之,,
1990-01-01,光栄,大航海時代,MSX2,-,4M,￥,￥0代,1,koei+SRAM,,,,,,,,
1984-01-01,カシオ,大障害競馬,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,キャリーラボ,大脱走,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,エルマー・バーンスタイン,ポール・ブリックヒル,,
1986-01-01,ポニーキャニオン,谷川浩司の将棋指南,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ポニーキャニオン,谷川浩司の将棋指南II名人への道,MSX2,-,1M,"￥5,500","￥5,500代",1,ASCII_8KB+SRAM,,,,,,,,
1980-01-01,ストラッドフォード,中学必修英作文,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1987-01-01,ストラッドフォード,中学必修英文法[中学1年],MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,ボースティック,超時空要塞マクロスカウントダウン,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,コスモスコンピュータ,超戦士ザイダーバトルオブペガス,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1988-01-01,クロスメディア,釣りキチ三平ブルーマリン編,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1989-01-01,ビクター音産,釣りキチ三平釣り仙人編,MSX2,-,2M,"￥8,200","￥8,000代",1,ASCII_8KB,,,,,,,,
1991-01-01,光栄,提督の決断,MSXTurboR,-,8M,"￥14,800","￥15,000代",1,koei+SRAM,,,,,宮川泰,シブサワ・コウ,シブサワ・コウ,
1987-01-01,タイトー／ニデコ,天国よいとこ,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,天才ラビアン大奮戦,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ジャスト,天使たちの午後,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,BIT2,伝説の聖戦士アシュギーネ,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,ＳＮＫ,怒,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1986-01-01,アスキー,日本語MSX-Write,MSX,-,4M,"￥19,800","￥20,000代",1,ASCII_16KB,,,,,,,,
1988-01-01,アスキー,日本語ワードプロセッサMSX-WriteII,MSX2,-,4M,"￥19,800","￥20,000代",1,ASCII_8KB+SRAM,,,,,,,,
1986-01-01,東芝/東芝ＥＭＩ,日本語ワードプロセッサ漢字君II,MSX,-,不明,"￥14,800","￥15,000代",1,?,,,,,,,,
1987-01-01,ストラッドフォード,日本史年表,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1983-01-01,マイクロキャビン,忍者くん,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ＨＡＬ研究所,忍者くん阿修羅の章,MSX2,-,1M,"￥5,600","￥5,500代",1,ASCII_8KB,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,
1984-01-01,日本デクスタ,忍者くん魔城の冒険,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,西澤龍一|藤沢勉,西澤龍一|藤沢勉,,,,
1986-01-01,日本デクスタ,忍者じゃじゃ丸くん,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,,,関雅行,
1986-01-01,ポニーキャニオン,忍者プリンセス,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,川崎吉喜|小玉理恵子,,,,
1984-01-01,ハドソン,忍者影,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1989-01-01,ポニーキャニオン,熱血柔道,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,カシオ,熱戦甲子園,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,ジャレコ,燃えろ!!熱闘野球'88,MSX2,-,2M,"￥8,500","￥8,500代",1,ASCII_8KB,,,,,,,,
1987-01-01,KGD,覇邪の封印,MSX,-,1M,"￥7,800","￥8,000代",1,ASCII_8KB,,,,,堺香子,阿賀伸宏|鬼良あきら,,
1989-01-01,コナミ,牌の魔術師,MSX2,-,1M,"￥5,800","￥6,000代",1,[牌の魔術師] rom,,,,,,,,
1984-01-01,ソニー,爆走スタントレーシング(CARJAMBOREE),MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1988-01-01,日本テレネット,反生命戦機アンドロギュヌス,MSX2,-,2M,"￥7,800","￥8,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,マイクロキャビン,飛車,MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,カシオ,描きくけコン,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,,,,,
1986-01-01,マイクロキャビン,本格将棋棋太平,MSX2,-,1M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1980-01-01,ヤマハ,文節変換カートリッジ,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1985-01-01,松下電器産業,文節変換熟語ユニット,MSX,-,不明,"￥14,800","￥15,000代",1,?,,,,,,,,
1984-01-01,徳間書店／テクノポリス,忘れじのナウシカ・ゲーム,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1987-01-01,コンパイル,魔王ゴルベリアス,MSX,-,1M,"￥5,900","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,カプコン,魔界島七つの島大冒険,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,小林成光,黒川真圭,藤田晴美,,,
