発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1990-11-21,任天堂,スーパーマリオワールド,34,2,ACT,"￥8,000","￥8,000代",355,16,,手塚卓志,中郷俊彦,日野重文,近藤浩治,,山内溥|宮本茂,
1990-11-21,任天堂,F-ZERO,37,2,RCG,"￥7,000","￥7,000代",90,16,,清水一伸,西田泰也,清水一伸|今村孝矢,神吉由美子|石田尚人,,山内溥|宮本茂,
1990-12-01,ケムコ,ボンバザル,-,2,PZL,"￥6,500","￥6,500代",0,0,,,ロス・グッドレー,デヴィッド・ビショップ|アンソニー・クラウザー,ロス・グッドレー,,,
1990-12-16,エニックス,アクトレイザー,-,4,ACT,"￥8,000","￥8,000代",40,64,,橋本昌哉,橋本昌哉|いまいゆき,古代彩乃|高井政彦|今井秋芳|横田幸次|七條たかし,古代祐三,宮崎友好,曽根康征,
1990-12-16,イマジニア,ポピュラス,31,2,SLG,"￥8,800","￥9,000代",0,64,,,,,,,,
1990-12-21,カプコン,ファイナルファイト,-,4,ACT,"￥8,500","￥8,500代",0,0,,,金子清巳|上山真一|Tomiyan|Yokoyan,西谷亮|安田朗,藤田晴美|藤田靖明|松前真奈美|坂口由洋|下村陽子|高岡宏光|民谷淳子,,岡本吉起,
1990-12-21,コナミ,グラディウスⅢ,33,2,SHT,"￥7,800","￥8,000代",0,0,,,橋本和久|徳田典|松花賢和|高浜元,三好威正|H.MORII|すえながみかよ,村岡一樹|上原和彦|上高治巳|森本ゆきえ,,,
1990-12-21,任天堂,パイロットウイングス,-,2,SPT,"￥8,000","￥8,000代",48,0,,杉山直,加藤周平|矢嶋肇|河越巧,スージー|森直樹,近藤浩治|岡素世,,宮本茂,
1990-12-29,バンプレスト,SDザ・グレイトバトル,-,3,ACT,"￥8,200","￥8,000代",0,0,,,,,,,,
1991-02-23,HAL研究所,ジャンボ尾崎のホールインワン,-,4,SPT,"￥8,900","￥9,000代",0,0,,,,,,,,
1991-03-20,ジャレコ,BIGRUN,-,4,RCG,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-03-29,タイトー,ダライアスツイン,-,4,SHT,"￥8,500","￥8,500代",0,0,,山崎こうじ,みなみやすたか|おぐらみつお|のぐちじゅんいちろう,山崎こうじ|宮永佳祐|川石徹|斎藤慎|わきたよしひろ,相澤静夫,,西角友宏|高橋章二,
1991-04-05,T＆Eソフト,遙かなるオーガスタ,30,4,SPT,"￥9,800","￥10,000代",0,64,,横山英二,加藤英治,中島健二,冨田茂,,横山俊朗,
1991-04-06,バンダイ,ウルトラマン,30,2,ACT,"￥7,800","￥8,000代",0,0,,,,,,金城哲夫 ほか,,
1991-04-26,任天堂,シムシティ,33,2,SLG,"￥8,000","￥8,000代",90,256,,,,,,,,
1991-05-17,ジャレコ,スーパープロフェッショナルベースボール,-,4,SPT,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-05-24,ケムコ,ドラッケン,-,4,RPG,"￥8,500","￥8,500代",0,64,,,,ステファン・バウデット|リチャード・ボテット|マイケル・ロイヤー|ローレン・サルメロン|ドミニク・ジルー|フレデリック・バスク,チャールズ・カレ,フランソワ・マルスラ=フロワドヴァル,,
1991-05-28,セタ,ガデュリン,-,4,RPG,"￥8,800","￥9,000代",0,64,,,,富永真理|近永健一|加藤直之(ゲストメカ),加藤みちあき,島田満,,
1991-06-21,トンキンハウス,イースⅢワンダラーズフロムイース,-,4,RPG,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-02,セタ,スーパースタジアム,-,4,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-06,バンダイ,機動戦士ガンダムF91フォーミュラー戦記0122,-,4,SLG,"￥9,500","￥9,500代",0,64,,,,川元利浩|大河原邦男,富樫則彦,,,
1991-07-12,カルチャーブレーン,スーパーウルトラベースボール,-,2,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-07-13,アイレム,スーパーアールタイプ,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-07-19,コナミ,がんばれゴエモンゆき姫救出絵巻,-,4,ACT,"￥8,800","￥9,000代",0,0,,,梅崎重治|松岡伸浩|奥田康雄|下野俊典|吉田晃之,村木摂|藤本武史|小川公一|薬師寺健雄,上原和彦|上高治己,,,
1991-07-19,スクウェア,ファイナルファンタジーⅣ,36,4,RPG,"￥8,800","￥9,000代",143,64,,坂口博信,成田賢,時田貴司|天野喜孝,植松伸夫,時田貴司,宮本雅史,
1991-07-20,バンプレスト,バトルドッジボール闘球大激突,-,4,SPT,"￥9,600","￥9,500代",0,64,,,,,,,,
1991-07-26,カプコン,エリア88,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,岡田敏靖|神志那弘志|佐藤道明,三宅一徳,大野木寛|野村祐一,,
1991-08-09,エピック・ソニーレコード,白熱プロ野球ガンバリーグ,30,4,SPT,"￥8,500","￥8,500代",0,64,,,,,,,,
1991-08-23,セタ,初段森田将棋,-,2,TBL,"￥8,800","￥9,000代",0,64,,,,,,,,
1991-08-30,トンキンハウス,スーパーテニスワールドサーキット,-,2,SPT,"￥7,800","￥8,000代",0,0,,,,,,,,
1991-08-31,HAL研究所,ハイパーゾーン,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,石川淳,,,
1991-09-13,エピック・ソニーレコード,ジェリーボーイ,-,4,ACT,"￥8,500","￥8,500代",0,0,,田尻智,マーク・フリント,田尻智|杉森建|とみさわ昭仁|杉森建|MUCHO TANAKA,福田裕彦,田尻智|杉森建,清本浩,
1991-09-15,光栄,スーパー三國志Ⅱ,-,4,SLG,"￥14,800","￥15,000代",0,256,,,,,向谷実,,シブサワ・コウ,
1991-09-20,イマジニア,プロサッカー,-,2,SPT,"￥8,000","￥8,000代",0,16,,,,,,,,
1991-10-04,カプコン,超魔界村,-,4,ACT,"￥8,500","￥8,500代",0,0,,,篠原雅嗣|まついよしひろ,三並達也|山添公雄|松下進,山口真理,,藤原得郎,
1991-10-25,ジャレコ,SUPERE.D.F.,-,4,SHT,"￥8,700","￥8,500代",0,0,,,,,,,,
1991-10-29,スクウェア,ファイナルファンタジーⅣイージータイプ,31,4,RPG,"￥9,000","￥9,000代",0,64,,坂口博信,成田賢,時田貴司|天野喜孝,植松伸夫,時田貴司,宮本雅史,
1991-10-31,コナミ,悪魔城ドラキュラ,-,4,ACT,"￥8,800","￥9,000代",0,0,,赤松仁司,岡出光弘,戸隠のりやす,山下絹代|寺島里恵,,永田昭彦,
1991-11-21,任天堂,ゼルダの伝説神々のトライフォース,39,4,ARPG,"￥8,000","￥8,000代",116,64,,手塚卓志,中郷俊彦|副島康成|森田和明,富田聡一郎|今村孝矢|有本正直|渡辺剛,近藤浩治,田邊賢輔,山内溥|宮本茂,
1991-11-29,東映動画,雷電伝説,-,4,SHT,"￥8,700","￥8,500代",0,0,,濱田均,K.KONDO|川口哲也|S.MORI,川口哲也|T.WADA|M.KOMAZAWA|T.MATSUZAWA|H.MATSUO,佐藤亜希羅,,濱田均,
1991-12-06,データイースト,JOE＆MAC戦え原始人,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-12-13,ナムコ,スーパーワギャンランド,30,4,ACT,"￥8,300","￥8,500代",0,0,,,,,,,,
1991-12-13,ケムコ,ラグーン,-,4,RPG,"￥8,500","￥8,500代",0,64,,,,,,,,
1991-12-13,ヒューマン,スーパーフォーメーションサッカー,31,2,SPT,"￥7,700","￥7,500代",0,0,,,,,,,,
1991-12-13,エポック社,ちびまる子ちゃん「はりきり365日」の巻,-,2,TBL,"￥8,800","￥9,000代",0,0,,,,,,,,
1991-12-18,サンソフト,レミングス,35,4,PZL,"￥8,500","￥8,500代",0,0,,,デイブ・ジョーンズ(英語版),ゲイリー・ティモンズ|スコット・ジョンストン,ブライアン・ジョンストン|ティム・ライト(英語版),,,
1991-12-20,ビクターエンタテインメント,ダンジョンマスター,30,4,RPG,"￥9,800","￥10,000代",0,256,,,,,,,,
1991-12-20,アスミック,ディメンションフォース,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,,,,
1991-12-20,ヒューマン,スーパーファイヤープロレスリング,-,4,SPT,"￥8,500","￥8,500代",0,0,,,根津重昭|吉田秀司|野村弘治,増田雅人|市瀬大輔|きたむららだあき|茶々丸|高岡謙次|高岡謙次|門間毅,庭山博也|田中宏典|山崎正通|大谷哲司|鈴木啓史,,林徹,
1991-12-21,エンジェル,SDガンダム外伝ナイトガンダム物語大いなる遺産,-,4,RPG,"￥9,500","￥9,500代",0,64,,,,,,,,
1991-12-21,光栄,スーパー信長の野望武将風雲録,-,4,SLG,"￥11,800","￥12,000代",0,256,,,,,菅野よう子,,シブサワ・コウ,
1991-12-27,ナツメ,反省ザルジローくんの大冒険,-,2,ACT,"￥7,000","￥7,000代",0,0,,,,,,,,
1991-12-27,東芝EMI,サンダースピリッツ,-,4,SHT,"￥8,600","￥8,500代",0,0,,,,,,,,
1991-12-28,カルチャーブレーン,スーパーチャイニーズワールド,-,4,RPG,"￥8,800","￥9,000代",0,0,,阿迦手観屋夢之助,たちばなあきら,しいなつかさ|かわはらひとみ|ましばけいこ,沢彰記,さとうけんたろう,阿迦手観屋夢之助,
1991-12-29,イマジニア,シムアース,-,3,SLG,"￥9,600","￥9,500代",0,64,,,ダニエル・ゴールドマン|ポール・シュミット,フレッド・ハスラム|ウィル・ライト|ケイトリン・ミシェルデイトン|ピーター・ミシェルデイトン|ジェニー・マーティン|スーザン・グリーン,ヒース・ペーターソン,,スティーヴ・ベッカート,
1991-12-29,バンプレスト,バトルコマンダー八武衆修羅の兵法,-,4,SLG,"￥9,800","￥10,000代",0,256,,,,,,,,
1992-01-11,ハドソン,高橋名人の大冒険島,-,4,ACT,"￥8,500","￥8,500代",0,0,,KYON KYON,鈴木俊之|酒井誠,平井隆之|すごうともこ|鈴木多恵子|Y.ASAKURA|日下純,古代祐三,西澤龍一,植山幹郎|門脇光弘,
1992-01-17,イマジニア,プロフットボール,-,2,SPT,"￥7,900","￥8,000代",0,0,,,,,,,,
1992-01-25,バンダイ,ドラゴンボールZ超サイヤ伝説,-,4,RPG,"￥9,500","￥9,500代",0,64,,荻野目洋|A.K,しみずかずや,,高野充彦,,田中信行|浅沼誠|橋本名人,
1992-01-28,スクウェア,ロマンシングサ・ガ,31,4,RPG,"￥9,500","￥9,500代",98,64,,河津秋敏,小久保啓三|吉枝悟|穴澤友樹|赤尾実,河津秋敏|小林智美|代島学|高井浩,伊藤賢治,河津秋敏,宮本雅史,
1992-01-31,エニックス,ソウルブレイダー,32,4,RPG,"￥8,800","￥9,000代",0,64,,橋本昌哉,橋本昌哉,横田幸次|高井政彦|松室剛|眞島真太郎,タケカワユキヒデ,宮崎友好,曽根康征,
1992-02-14,エポック社,ドラゴンスレイヤー英雄伝説,-,4,RPG,"￥9,800","￥10,000代",0,16,,,,,,,,
1992-02-21,セタ,エキゾースト・ヒート,-,4,RCG,"￥8,900","￥9,000代",0,64,,,,,,,,
1992-02-28,アイ・ジー・エス,ロケッティア,-,4,ACT,"￥8,900","￥9,000代",0,0,,,,,ジェームズ・ホーナー,デイブ・スティーブンス(英語版),,
1992-02-28,コナミ,魂斗羅スピリッツ,-,4,ACT,"￥8,500","￥8,500代",0,0,,中里伸也,八井田満|菅波秀幸,中里伸也|猿田雅之,柳沢美紀|安達昌宣|岩瀬立飛,,北上一三,
1992-03-06,データイースト,スーパーバーディラッシュ,-,4,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-03-07,チュンソフト,弟切草,-,4,ADV,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-03-19,タカラ,新世紀GPXサイバーフォーミュラ,-,4,RCG,"￥8,800","￥9,000代",0,0,,,,いのまたむつみ(原案)|吉松孝博|河森正治|いのまたむつみ(原案)|久行宏和,佐橋俊彦,矢立肇,,
1992-03-19,ビクターエンタテインメント,R.P.M.Racing,-,2,RCG,"￥8,800","￥9,000代",0,16,,,,,,,,
1992-03-19,光栄,スーパー伊忍道打倒信長,-,5,RPG,"￥11,800","￥12,000代",0,64,,,,,若桑比織,,シブサワ・コウ,
1992-03-20,アスミック,超攻合神サーディオン,-,4,ACT,"￥8,800","￥9,000代",0,64,,おかもとひろし,田中衛,神田善美|カトキハジメ|森木靖泰,田中公平,,小川真司,
1992-03-20,カプコン,ファイナルファイトガイ,-,4,ACT,"￥8,500","￥8,500代",0,0,,,金子清巳|上山真一|Tomiyan|Yokoyan,西谷亮|安田朗,藤田晴美|藤田靖明|松前真奈美|坂口由洋|下村陽子|高岡宏光|民谷淳子,,岡本吉起,
1992-03-27,アスキー,SMASH・T.V.,31,2,ACT,"￥7,800","￥8,000代",0,0,,,マーク・ターメル,ユージン・P・ジャーヴィス|ジョン・トビアス(英語版)|ティム・コマン,ジョン・ヘイ,,,
1992-03-27,ジャレコ,ラッシングビート,-,4,ACT,"￥8,700","￥8,500代",0,0,,,PANIC YUMA,倉持亮一|倉持伸幸|前川恵一|渡辺忠彦|高橋将人,高芝泰彦|伊勢村篤義,,,
1992-03-27,日本コンピュータシステム,らんま1／2町内激闘篇,-,4,ACT,"￥8,800","￥9,000代",0,0,,山本克利,山本克利,只隈圭介|只隈圭介|有賀ヒトシ|斉藤智晴,榎木淳|赤堀正直,,土田俊郎,
1992-03-27,バンプレスト,ザ・グレイトバトルⅡラストファイターツイン,-,4,ACT,"￥8,200","￥8,000代",0,0,,,,,富樫則彦,,,
1992-03-27,レーザーソフト,スーパーヴァリス赤き月の乙女,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,,,,,
1992-03-27,ケムコ,トップレーサー,-,2,RCG,"￥7,800","￥8,000代",0,0,,,,,,,,
1992-03-27,ナグザット,バトルグランプリ,-,4,RCG,"￥8,500","￥8,500代",0,0,,,,,,,,
1992-03-27,HAL研究所,カードマスターリムサリアの封印,-,4,RPG,"￥8,900","￥9,000代",0,64,,橋口茂|MAT SUTAKE,,,石川淳|安藤浩和,橋口茂|葛西重忍,,
1992-03-27,アテナ,S.T.G.(エスティージー),-,4,SHT,"￥8,900","￥9,000代",0,0,,玉井広宣,,,佐々木彰太郎,玉井広宣,中村栄,
1992-03-27,タイトー,ハットトリックヒーロー,-,2,SPT,"￥8,000","￥8,000代",0,0,,,中村辰男|岩崎雄二|征矢野伸二|ながはらくさご|つねきよこうじ|黒沢孝,こぼりたけし|こぼりたけし|関本努|平松信宏|PEACOCK,小倉久佳|渡部恭久,,,
1992-03-27,ナムコ,スーパーファミスタ,-,4,SPT,"￥7,900","￥8,000代",0,0,,岸本好弘,佐々木英隆,島本昌弘|柳沢直幹,川元義徳,,永島洋武,
1992-03-28,バンダイ,まじかる☆タルるートくんMAGICADVENTURE,-,2,ACT,"￥8,000","￥8,000代",0,64,,,,,,,,
1992-04-03,ポニーキャニオン,ウルティマⅥ偽りの予言者,-,4,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1992-04-05,光栄,エアーマネジメント大空に賭ける,-,4,SLG,"￥11,800","￥12,000代",0,64,,,,,,,,
1992-04-05,ツクダオリジナル,オセロワールド,-,4,TBL,"￥8,700","￥8,500代",0,0,,,,,,,,
1992-04-10,T＆Eソフト,ペブルビーチの波濤,-,4,SPT,"￥9,800","￥10,000代",0,64,,横山英二,加藤英治,中島健二,冨田茂,,横山俊朗,
1992-04-21,データム・ポリスター,豪槍神雷伝説武者,-,4,ACT,"￥8,800","￥9,000代",0,16,,,杉浦史博,DINO RIDER|中林勝則,飛鳥川清子,,岡田隆|富川亜紀子|浅和綾子,
1992-04-24,シグマ商事,摩訶摩訶,-,4,RPG,"￥8,700","￥8,500代",0,64,,えびたいしょう,,おびゃななほど|相原コージ,知久光康,戸田博史,,
1992-04-24,データイースト,ヘラクレスの栄光Ⅲ神々の沈黙,-,4,RPG,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-04-24,アクレイムジャパン,WWFスーパーレッスルマニア,-,4,SPT,"￥8,800","￥9,000代",0,0,,,,,,,,
1992-04-24,ジャレコ,スーパーカップサッカー,-,4,SPT,"￥9,000","￥9,000代",0,64,,,,,,,,
1992-04-28,ホット・ビィ,スーパー上海ドラゴンズアイ,-,4,PZL,"￥7,800","￥8,000代",0,0,,,,,,,,
1992-04-28,ビデオシステム,F-1GRANDPRIX,-,4,RCG,"￥9,700","￥9,500代",0,64,,,,,板村直樹,,S.NOZAKI,
1992-04-28,東宝,スーパーアレスタ,32,4,SHT,"￥8,700","￥8,500代",0,0,,,広野隆行,広野隆行|寺本耕二,竹内啓史|長尾亮利|田中勝己,,角田純一|竹野雅人|谷田貴史,
1992-04-28,ソフエル,拳闘王ワールドチャンピオン,-,2,SPT,"￥8,000","￥8,000代",0,0,,,,,,,,
1992-05-01,サミー,バトルブレイズ,-,4,ACT,"￥8,700","￥8,500代",0,0,,,,,,,,
1992-05-23,バンダイ,甲竜伝説ヴィルガスト消えた少女,-,4,RPG,"￥9,000","￥9,000代",0,64,,,,,,,,
1992-05-29,カプコン,マジックソード,-,4,ACT,"￥8,500","￥8,500代",0,0,,,江川陽一|綱崎裕三|岡田成司|Y.ORONISHI,大西嘉美|貞本友思|岡本吉起|栗原明美|きたやまけいこ|E.NISHIHARA|貞本友思,後藤真奈美,,,
1992-05-29,ウルフ・チーム,斬Ⅱスピリッツ,-,4,SLG,"￥9,800","￥10,000代",0,64,,,,,,,,
1992-06-10,カプコン,ストリートファイターⅡ,35,7,ACT,"￥9,800","￥10,000代",290,0,,西谷亮,,西谷亮(NIN)|安田朗(AKIMAN),下村陽子|阿部功,,岡本吉起,
1992-06-19,HAL研究所,スーパーダンクショット,-,4,SPT,"￥8,600","￥8,500代",0,0,,,,,,,,
1992-06-19,アイマックス,スーパー将棋,-,4,TBL,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-06-26,タイトー,キャメルトライ,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,海道賢仁,PINCH-PUNCH,,海道賢仁,
1992-06-26,エンジェル,横山光輝三国志,-,4,SLG,"￥9,500","￥9,500代",0,64,,,,荒木伸吾|姫野美智,西村麻聡,横山光輝,,
1992-06-26,キングレコード,アストラルバウト,-,4,SPT,"￥9,030","￥9,000代",0,0,,,,,,,,
1992-06-26,ケイ・アミューズメントリース,甲子園2,-,4,SPT,"￥8,900","￥9,000代",0,64,,,,,,,,
1992-07-03,日本コンピュータシステム,プリンスオブペルシャ,-,4,ACT,"￥8,800","￥9,000代",0,0,,,ジョーダン・メックナー,ジョーダン・メックナー,フランシス・メックナー,,ブライアン・エーラー,
1992-07-03,パック・イン・ビデオ,スーパーオフロード,-,2,RCG,"￥6,900","￥7,000代",0,0,,,,,,,,
1992-07-03,トンキンハウス,LightFantasy,-,4,RPG,"￥8,900","￥9,000代",0,64,,,,,,,,
1992-07-03,コナミ,パロディウスだ!神話からお笑いへ,-,4,SHT,"￥8,500","￥8,500代",0,0,,,徳田典,GAKINCHO|TOUYOU SYOUTAROU|三好威正|MORY-WANDAYU|MIKACHAN,村岡一樹,,,
1992-07-03,アテナ,スーパーボウリング,-,2,SPT,"￥8,300","￥8,500代",0,0,,,,,,,,
1992-07-03,イマジニア,PGAツアーゴルフ,-,2,SPT,"￥8,500","￥8,500代",0,64,,,,,,,,
1992-07-10,タイトー,ゆうゆのクイズでGO!GO!,-,4,ETC,"￥8,500","￥8,500代",0,0,,藤田司,渋谷康洋|川元和彦,越中登|木下昌也|沼田和博|森田雅子,河本圭代,,,
1992-07-10,東映動画,北斗の拳5天魔流星伝哀・絶章,-,4,RPG,"￥8,900","￥9,000代",0,64,,,,,フランク・ワイルドホーン,高橋亜子,,
1992-07-14,任天堂,マリオペイント,35,4,ETC,"￥9,800","￥10,000代",0,256,,松岡洋史,寺本憲明|今井賢治|中嶋健之|久保田源治,松岡洋史,田中宏和|吉富亮二|戸高一生,,横井軍平,
1992-07-17,アイレム,ダイナウォーズ恐竜王国への大冒険,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1992-07-17,エピック・ソニーレコード,HOOK,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,,,,,
1992-07-17,ロジーク,鈴木亜久里のF1スーパードライビング,-,4,RCG,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-07-17,テクモ,キャプテン翼Ⅲ皇帝の挑戦,31,4,SPT,"￥8,900","￥9,000代",0,64,,,,,,,,
1992-07-17,ココナッツジャパンエンターテイメント,パチンコウォーズ,-,4,TBL,"￥9,500","￥9,500代",0,0,,,,,,,,
1992-07-23,ナムコ,サンドラの大冒険ワルキューレとの出逢い,-,4,ACT,"￥8,300","￥8,500代",0,0,,,,冨士宏,富樫則彦,,,
1992-07-24,コナミ,T.M.N.T.タートルズインタイム,30,4,ACT,"￥8,500","￥8,500代",0,0,,Gen Suzuki(AC)|Yorozuya Juggling Group(SFC),K. Takabayashi| Y. Furukawa(AC)|奥田康雄|下野俊典|中川栄治|森平茂樹(SFC),Masami Inafuku| M. Moriyama| Soichiro Kitai(AC)|Kumiko Ogawa| 橋本征貢| Hiromi Sumida(SFC),泉陸奥彦|小倉努(AC)|上原和彦|上高治己(SFC),,,
1992-07-24,東芝EMI,サイバリオン,-,4,ACT,"￥8,600","￥8,500代",0,0,,,藤末一郎|石井岳,三辻富貴朗|三辻富貴朗|讃岐平|藤田允|栗城源也|利光直子|永井寛保,渡部恭久(AC)|松尾早人(SFC),,,
1992-07-24,日本物産,スーパーエフワンサーカス(01),-,4,RCG,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-07-24,アトラス,ブレイゾン,-,4,SHT,"￥8,500","￥8,500代",0,0,,,,,,,,
1992-07-24,ハドソン,アースライト,-,4,SLG,"￥8,500","￥8,500代",0,64,,,,,前野知常,,,
1992-07-24,サミー,ウルティメイトフットボール,-,4,SPT,"￥8,700","￥8,500代",0,0,,,,,,,,
1992-07-28,ユタカ,3×3EYES(サザンアイズ)聖魔降臨伝,-,4,RPG,"￥9,500","￥9,500代",0,64,,,,,,,,
1992-07-31,アトラス,機甲警察メタルジャック,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,内田順久|牧野行洋,岩崎文紀,矢立肇,,
1992-07-31,カルチャーブレーン,飛龍の拳Sゴールデンファイター,-,6,ACT,"￥9,700","￥9,500代",0,0,,,,,,,,
1992-07-31,タカラ,キング・オブ・ザ・モンスターズ,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,田中敬一|西田和弘,,,
1992-07-31,サンソフト,炎の闘球児ドッジ弾平,-,4,SPT,"￥8,500","￥8,500代",0,0,,,,はしもとかつみ|郷敏治,勝又隆一,こしたてつひろ,,
1992-08-05,光栄,スーパー大航海時代,-,4,SLG,"￥11,800","￥12,000代",0,64,,,,,菅野よう子,,フクザワ・エイジ,
1992-08-07,アスキー,スピンディジーワールド,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1992-08-07,カプコン,スーパーパン,-,4,ACT,"￥7,500","￥7,500代",0,0,,,,宮本茂,近藤浩治,,竹田玄洋,
1992-08-07,BPS,パイプドリーム,-,2,PZL,"￥7,500","￥7,500代",0,0,,アキラ・レッドマー,アキラ・レッドマー|ステファン・L・バトラー,アキラ・レッドマー|ステファン・L・バトラー|ゲイリー・ウィニック|マーク・J・フェラーリ|スティーヴ・パーセル|マイク・エバート|エリック・ジョンストン,ジョン・デール,,,
1992-08-07,テクノスジャパン,初代熱血硬派くにおくん,-,4,RPG,"￥8,900","￥9,000代",0,16,,,もりしんいち|なんばやすいちろう|すやなおき|熊谷慎太郎|松本康宏,澤田典宏|津田昇|岸本良久|石黒誠一郎|根立克行|せきかわじゅんいちろう|澤田典宏,井上晃|平沢道也|浦部拓,,瀧邦夫,
1992-08-07,ケムコ,ファランクス,-,4,SHT,"￥8,900","￥9,000代",0,0,,,,,,,,
1992-08-07,ジャレコ,スーパープロフェッショナルベースボールⅡ,-,4,SPT,"￥9,000","￥9,000代",0,64,,,,,,,,
1992-08-07,ハドソン,スーパー桃太郎電鉄Ⅱ,-,4,TBL,"￥8,800","￥9,000代",0,64,,さくまあきら|飛田雅宏,青山光(青山公士),土居孝幸,関口和之,,浦敏治,
1992-08-11,アルトロン,ホーム・アローン,-,2,ACT,"￥8,800","￥9,000代",0,0,,,,,ジョン・ウィリアムズ,ジョン・ヒューズ,,
1992-08-21,ユタカ,キン肉マンDIRTYCHALLENGER,-,2,ACT,"￥7,800","￥8,000代",0,0,,,,,富樫則彦,,,
1992-08-22,アイマックス,スーパー麻雀,-,2,TBL,"￥8,000","￥8,000代",0,0,,,,,,,,
1992-08-27,任天堂,スーパーマリオカート,32,2,RCG,"￥8,900","￥9,000代",382,16,,杉山直|紺野秀樹,木村雅人|矢嶋肇|山本健二,杉山直|森直樹|小田部羊一|MIE YOSHIMURA|小泉歓晃,岡素世|阪東太郎,,山内溥|宮本茂,
1992-08-28,バンプレスト,CBキャラウォーズ失われたギャーグ,-,4,ACT,"￥8,500","￥8,500代",0,0,,七條たかし,塩谷博光|古田哲也,七條たかし|藤岡英俊|若月康雄|早川直行|七條たかし,安西史孝,,じっぱひとからげ,
1992-08-28,マイクロアカデミー,ウルトラベースボール実名版,-,2,SPT,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-09-11,コナミ,アクスレイ,-,4,SHT,"￥8,800","￥9,000代",0,0,,,上田英生,小玉紀年|矢田凡成|難波和宏,工藤太郎,,北上一三,
1992-09-11,テイチク,アクロバットミッション,-,4,SHT,"￥8,800","￥9,000代",0,0,,,新井利男,金子むつお|神菊かおる|青山きんや|金子むつお|富沢みのる,長島義夫|西川ひろし,,,
1992-09-12,エンジェル,SD機動戦士ガンダムV作戦始動,-,2,ACT,"￥7,800","￥8,000代",0,0,,,,,,,,
1992-09-12,光栄,スーパー麻雀大会,-,2,TBL,"￥9,800","￥10,000代",0,64,,,,,若桑比織,,シブサワ・コウ,
1992-09-18,ユタカ,SDガンダムXスーパーガチャポンワールド,-,4,SLG,"￥9,500","￥9,500代",0,64,,,,,,,,
1992-09-18,T＆Eソフト,ワイアラエの奇蹟,-,4,SPT,"￥9,800","￥10,000代",0,64,,横山英二,加藤英治,中島健二,冨田茂,,横山俊朗,
1992-09-24,光栄,提督の決断,-,5,SLG,"￥14,800","￥15,000代",0,256,,,,,宮川泰,シブサワ・コウ,シブサワ・コウ,
1992-09-25,タイトー,ソニックブラストマン,-,4,ACT,"￥8,500","￥8,500代",0,0,,,,,,,,
1992-09-25,アスキー,大戦略エキスパート,-,4,SLG,"￥9,800","￥10,000代",0,256,,,,,,,,
1992-09-25,徳間書店インターメディアカンパニー,銀河英雄伝説,-,4,SLG,"￥9,800","￥10,000代",0,64,,,,,,,,
1992-09-25,パルソフト,ぎゅわんぶらあ自己中心派麻雀皇位戦,-,2,TBL,"￥8,800","￥9,000代",0,0,,,,,,,,
1992-09-27,エニックス,ドラゴンクエストV天空の花嫁,36,6,RPG,"￥9,600","￥9,500代",280,64,,山名学,桝田賢一|成田東吾,堀井雄二|鳥山明,すぎやまこういち,堀井雄二,千田幸信,
1992-09-29,ナムコ,スカイミッション,-,2,SLG,"￥8,300","￥8,500代",0,0,,,スティーヴ・ヒューズ,ジェレミー・カンター|ステファン・トムソン,ジョージ・サンガー,,ケン・ロブ,
1992-10-09,エポック社,ロードモナーク,-,2,SLG,"￥8,800","￥9,000代",0,64,,,,,,,,
1992-10-16,テクノスジャパン,リターン・オブ・双截龍,-,4,ACT,"￥8,600","￥8,500代",0,0,,,,,,,,
