発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,売り上げ本数,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1986-04-19,ナムコ,ディグダグⅡ,-,2,ACT,"￥4,500","￥4,500代",0,1,,,,,慶野由利子|小沢純子,,,-,-,-,-,-,
1986-04-24,テクモ,マイティボンジャック,-,2,ACT,"￥4,980","￥5,000代",0,1,,,,,増子司|蓮谷通治,,,🟨黄,-,-,-,06位,
1986-04-25,コナミ,グラディウス,-,2,ACT,"￥4,900","￥5,000代",100,1,,,,,,,,◾黒,-,-,05位,-,
1986-04-25,東京書籍,けいさんゲームさんすう1年,-,2,ETC,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-25,東京書籍,けいさんゲーム算数2年,-,2,ETC,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-25,東京書籍,けいさんゲーム算数3年,-,2,ETC,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-04-26,ケムコ,スパイVSスパイ,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,マイケル・J・リーデル,,,,🟦青,対戦,08位,-,-,
1986-05-19,日本物産,セクロス,-,2,ACT,"￥4,900","￥5,000代",0,1,,山下要介,,山下要介,,,,-,-,-,-,-,
1986-05-27,エニックス,ドラゴンクエスト,-,2,RPG,"￥5,500","￥5,500代",150,1,,中村光一,チュンソフト,鳥山明|榎本一夫|土居孝幸,すぎやまこういち,堀井雄二,千田幸信,◾黒,-,-,-,-,
1986-06-03,東芝ＥＭＩ,バードウィーク,-,1,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1986-06-03,データイースト,Bウイング(ビーウイング),-,2,SHT,"￥4,900","￥5,000代",0,1,,,,,,,,🟨黄,-,-,-,-,
1986-06-13,ハドソン,スターソルジャー,-,2,SHT,"￥4,900","￥5,000代",100,1,,,野沢勝広,山本次行,国本剛章,,,◾黒,-,-,01位,-,
1986-06-13,カプコン,魔界村,-,4,ACT,"￥5,500","￥5,500代",164,1,,,有馬俊夫,藤原得郎,森安也子,,,◾黒,-,-,-,02位,
1986-06-19,ナムコ,スーパーチャイニーズ,-,2,ACT,"￥3,900","￥4,000代",0,1,,,,,,,,-,-,-,-,-,
1986-06-26,アイレム,スクーン,-,2,ACT,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
