発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,価格帯,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1997-12-18,コナミ,ハイパーオリンピックインナガノ64,1,2,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,ゲームバンク,ヘクセン,1,1,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-18,カルチャーブレーン,飛龍の拳ツイン,1,2,ACT,"￥6,980","￥7,000代",0,,,,,,,,
1997-12-19,バンダイ,64で発見!たまごっちみんなでたまごっちワールド,3,2,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1997-12-19,ハドソン,ウッチャンナンチャンの炎のチャレンジャーウルトラ電流イライラ棒,2,1,ACT,"￥5,980","￥6,000代",0,,,,,,,,
1997-12-19,アスキー,エアロゲイジ,3,1,RCG,"￥7,800","￥8,000代",0,,,,,,,,
1997-12-19,アスミック,バーチャル・プロレスリング64,8,3,SPT,"￥6,800","￥7,000代",0,,岩下英幸,工藤正明|中山止禍,池下宗繁|門間毅|木村賢司|田村大也|遠山一仁|西田和希|畠祐基|葉山浩|矢口繁,,,,
1997-12-21,任天堂,ヨッシーストーリー,4,3,ACT,"￥6,800","￥7,000代",85,,紺野秀樹,中郷俊彦,日野重文,戸高一生,,手塚卓志,
1997-12-26,T＆Eソフト,遥かなるオーガスタMASTERS'98,1,3,SPT,"￥7,980","￥8,000代",0,,,,,,,,
1998-01-04,ハドソン,新日本プロレス闘魂炎導～BraveSpirits～,1,2,SPT,"￥6,980","￥7,000代",0,,,,,,,,
1998-01-29,コナミ,NBAINTHEZONE'98,1,2,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1998-01-30,イマジニア,シムシティ2000,1,2,SLG,"￥6,800","￥7,000代",0,,,,,,,,
1998-02-28,任天堂,1080スノーボーディング,7,3,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1998-02-28,ゲームバンク,ウェイン・グレッキー3Dホッケー,1,1,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-19,ビデオシステム,ソニックウィングスアサルト,2,1,SHT,"￥6,980","￥7,000代",0,,,,,,,,
1998-03-26,コナミ,G.A.S.P!!Fighter'sNEXTream,1,3,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-26,コナミ,実況パワフルプロ野球5,7,3,SPT,"￥7,800","￥8,000代",16,,,,,,,,
1998-03-26,コナミ,進め!対戦ぱずるだま闘魂!まるたま町,1,3,PZL,"￥6,800","￥7,000代",0,,,,,,,,
1998-03-27,ヒューマン,エアーボーダー64,3,1,RCG,"￥7,800","￥8,000代",0,,,,,,,,
1998-03-27,ビック東海,スペースダイナマイツ,0,1,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1998-04-03,セタ,森田将棋64,1,1,TBL,"￥9,800","￥10,000代",0,,,,,,,,
1998-04-24,エレクトロニック・アーツ,FIFARoadtoWORLDCUP98～ワールドカップへの道～,0,2,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1998-04-30,ハドソン,ボンバーマンヒーロー～ミリアン王女を救え!～,2,3,ACT,"￥6,800","￥7,000代",0,,松本成弘|藤原茂樹(スーパーバイザー),よしだてつま|まつのうちひでかず|阿部幸絵|なかのやすひろ,くぼたひでゆき|みやしたかつみ|大久保則雄|水野祥司|佐藤梢,竹間淳,,遠藤英俊,
1998-05-29,アクレイムジャパン,エクストリームG,1,1,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1998-05-29,タイトー,スーパースピードレース64,1,1,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1998-05-29,セタ,実況ワールドサッカーWORLDCUPFRANCE'98,1,2,TBL,"￥6,980","￥7,000代",10,,,,,,,,
1998-06-04,コナミ,,1,3,SPT,"￥7,800","￥8,000代",0,,,,,,,,
1998-06-26,アテナ,デザエモン3D,0,3,SHT,"￥7,800","￥8,000代",0,,,,,,,,
1998-07-10,ハドソン,スターソルジャーバニシングアース,0,2,SHT,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-14,任天堂,F-ZEROX,7,3,RCG,"￥5,800","￥6,000代",29,,,,,,,,
1998-07-16,コナミ,オリンピックホッケーナガノ98,1,1,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-17,バンプレスト,スーパーロボットスピリッツ,2,3,ACT,"￥7,800","￥8,000代",0,,,,,,,,
1998-07-17,タカラ,チョロQ64,1,1,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-23,コナミ,RAKUGAKIDS,1,2,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1998-07-24,ハドソン,スーパービーダマンバトルフェニックス64,2,2,SHT,"￥6,800","￥7,000代",0,,込山勉,,,貫田顕勇,,中本伸一,
1998-08-01,任天堂,ポケモンスタジアム,7,3,ETC,"￥6,800","￥7,000代",137,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
1998-08-07,ボトムアップ,アリスのわくわくトランプワールド64,2,2,TBL,"￥6,980","￥7,000代",0,,,,,,,,
1998-08-28,アクレイムジャパン,イギーくんのぶらぶらぽよん,1,1,RCG,"￥5,800","￥6,000代",0,,,,,,,,
1998-10-09,ハドソン,Let'sスマッシュ,1,2,SPT,"￥6,800","￥7,000代",0,,,,,福岡ユタカ,,,
1998-10-23,イマジニア,キラッと解決!64探偵団,1,2,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1998-10-30,イマジニア,CITYTOURGRANDPRIX～全日本GT選手権～,1,3,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1998-11-13,セタ,TETRIS64,2,1,PZL,"￥4,980","￥5,000代",0,,,,,,,,
1998-11-20,カプコン,マジカルテトリスチャレンジfeaturingミッキー,0,3,PZL,"￥6,800","￥7,000代",0,,藤林秀麿,,藤林秀麿,甲田雅人,,,
1998-11-21,任天堂,ゼルダの伝説時のオカリナ,7,7,ACT+RPG,"￥6,800","￥7,000代",146,,大澤徹|山田洋一|小野塚(青沼)英二,岩脇敏夫,,近藤浩治,大澤徹,宮本茂,
1998-11-27,イマジニア,ウェットリス,2,1,PZL,"￥5,800","￥6,000代",0,,,,,,,,
1998-11-27,ケムコ,ナイフエッジ～ノーズガンナー～,0,1,SHT,"￥6,980","￥7,000代",0,,,,,,,,
1998-11-27,パック・イン・ソフト,ぬし釣り64,7,3,RPG,"￥6,800","￥7,000代",9,,,,,,,,
1998-12-02,ハギワラシスコム,マリオのふぉとぴー,0,3,ETC,"￥9,800","￥10,000代",0,,,,,,,,
1998-12-04,ハドソン,ゲッターラブ!!～ちょー恋愛パーティーゲーム～,1,2,TBL,"￥6,800","￥7,000代",0,,飛澤正人,西野公博|高橋ミッツ,中村心|柴田晃宏,坂東章平,高橋克則|加藤和美,,
1998-12-06,任天堂,バンジョーとカズーイの大冒険,2,3,ACT,"￥6,800","￥7,000代",41,,,,,,,,
1998-12-11,エポック社,ドラえもん2のび太と光の神殿,4,2,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-11,イマジニア,ファイティングカップ,3,2,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-12,任天堂,ピカチュウげんきでちゅう,0,3,ETC,"￥9,800","￥10,000代",74,,,,,小畑幹,,石原恒和,
1998-12-18,アスキーサムシンググッド,AI将棋3NINTENDO64版,1,1,TBL,"￥7,800","￥8,000代",0,,,,,,,,
1998-12-18,UBIソフト,BUCKBUMBLE,1,2,SHT,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-18,任天堂,F-1WorldGrandprix,2,2,RCG,"￥5,800","￥6,000代",0,,,,,,,,
1998-12-18,ケムコ,KINGHILL64-エクストリームスノーボーディング-,1,2,SPT,"￥6,980","￥7,000代",0,,,,,,,,
1998-12-18,任天堂,マリオパーティ,2,7,TBL,"￥5,800","￥6,000代",71,,,,,光田康典,,,
1998-12-23,コナミ,がんばれゴエモンでろでろ道中オバケてんこ盛り,7,3,ACT,"￥7,800","￥8,000代",11,,,,,,,,
1998-12-24,タイトー,爆笑人生64めざせ!リゾート王,1,2,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-25,日本システムサプライ,カメレオンツイスト2,1,2,ACT,"￥6,300","￥6,500代",0,,,,,,,,
1998-12-26,イマジニア,SNOWSPEEDER,3,2,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1998-12-26,ハドソン,新日本プロレスリング闘魂炎導2-thenextgeneration-,8,7,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1999-01-15,アスキー,Jリーグタクティクス・サッカー,1,2,SLG,"￥7,800","￥8,000代",0,,,,,,,,
1999-01-21,任天堂,ニンテンドウオールスター!大乱闘スマッシュブラザーズ,7,3,ACT,"￥5,800","￥6,000代",197,,桜井政博,,,安藤浩和,,山内溥|菅浩秋|岩田聡|三木研次|宮本茂,
1999-01-29,日本テレネット,Parlor!PRO64パチンコ実機シミュレーションゲーム,5,2,SLG,"￥6,980","￥7,000代",0,,,,,,,,
1999-01-29,カルチャーブレーン,SD飛龍の拳伝説,1,2,ACT,"￥6,480","￥6,500代",0,,,,,,,,
1999-02-05,パック・イン・ソフト,牧場物語2,7,3,SLG,"￥6,800","￥7,000代",9,,,,,,,,
1999-02-19,アトラス,超スノボキッズ,2,3,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-05,タイトー,パズルボブル64,1,1,PZL,"￥4,800","￥5,000代",0,,,,,,,,
1999-03-11,コナミ,悪魔城ドラキュラ黙示録,2,2,ACT,"￥7,800","￥8,000代",0,,柴田裕治,柴田洋,森澤友裕|梅津泰臣,古川元亮|江川麻理子|木村雅彦,,蛭子悦延,
1999-03-19,ボトムアップ,64大相撲2,1,3,SPT,"￥6,980","￥7,000代",0,,,,,,,,
1999-03-19,ケムコ,TOPGEAROVERDRIVE,2,2,RCG,"￥6,980","￥7,000代",0,,,,,,,,
1999-03-19,タカラ,人生ゲーム64,7,3,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-19,イマジニア,超空間ナイタープロ野球キング2,1,3,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1999-03-21,任天堂,ポケモンスナップ,6,3,ETC,"￥6,800","￥7,000代",50,,,,,,,,
1999-03-25,コナミ,実況パワフルプロ野球6,8,3,SPT,"￥7,800","￥8,000代",32,,,,,,,,
1999-03-26,アテナ,スーパーボウリング,1,1,SPT,"￥6,800","￥7,000代",0,,,,,,,,
1999-04-09,ボトムアップ,おねがいモンスター,1,3,SLG,"￥6,980","￥7,000代",0,,,,,,,,
1999-04-28,コナミ,実況G1ステイブル,1,3,SLG,"￥7,800","￥8,000代",0,,,,,,,,
1999-04-30,任天堂,ポケモンスタジアム2,6,7,ETC,"￥5,800","￥6,000代",71,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
1999-05-28,ハドソン,ラストレジオンUX,2,2,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1999-06-03,コナミ,NBAINTHEZONE2,1,2,SPT,"￥7,800","￥8,000代",0,,,,,,,,
1999-06-11,イマジニア,ズール～魔獣使い伝説～,1,2,RPG,"￥6,800","￥7,000代",0,,,,,,,,
1999-06-11,任天堂,マリオゴルフ64,7,4,SPT,"￥6,800","￥7,000代",47,,,,,,,,
1999-06-18,gemzi,バイオレンスキラー～TUROKNEWGENERATION～,1,7,ACT,"￥7,800","￥8,000代",0,,,,,,,,
1999-06-25,バンダイ,NEONGENESISEVANGERION,4,7,ACT,"￥8,800","￥9,000代",0,,,,,,,島居理恵,
1999-07-09,イマジニア,エルテイルモンスターズ,1,3,RPG,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-14,任天堂,オウガバトル64PersonofLordlyCaliber,7,8,SLG,"￥7,800","￥8,000代",20,,,,,,,,
1999-07-16,バンダイ,PDウルトラマンバトルコレクション64,5,7,SLG,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-21,任天堂,スターウォーズエピソード1レーサー,4,7,RCG,"￥6,800","￥7,000代",9,,,,,,,,
1999-07-29,コナミ,実況Jリーグ1999パーフェクトストライカー2,8,3,SPT,"￥7,800","￥8,000代",11,,,,,,,,
1999-07-30,バンプレスト,ロードランナー3D,2,1,PZL,"￥6,800","￥7,000代",0,,,,,,,,
1999-07-30,タイトー,電車でGO!64,4,7,SLG,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-05,コナミ,HYBRIDHEAVEN,8,3,RPG,"￥7,800","￥8,000代",0,,,,,,,,
1999-08-06,イマジニア,Rally'99,1,1,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-13,ケムコ,SHADOWGATE64,2,3,ADV,"￥6,980","￥7,000代",0,,,,,,,,
1999-08-27,任天堂,スターウォーズ出撃!ローグ中隊,2,3,SHT,"￥6,800","￥7,000代",0,,,,,,,,
1999-08-27,イマジニア,格闘伝承～F-CUPMANIAX～,1,3,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1999-09-03,トレジャー,爆裂無敵バンガイオー,2,2,SHT,"￥5,800","￥6,000代",0,,,,,,,,
1999-09-10,アクレイムジャパン,エクストリームG2,1,2,RCG,"￥5,800","￥6,000代",0,,,,,,,,
1999-09-23,コーエー,WINBACK,1,3,ACT,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-01,タカラ,ビーストウォーズメタルス64,2,2,ACT,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-14,スパイク,V-RALLYEDITION99,2,1,RCG,"￥7,800","￥8,000代",0,,,,,,,,
1999-10-22,アテナ,夜光虫2～殺人行路～,2,7,ADV,"￥6,800","￥7,000代",0,,平尾真士,矢風図|浅見友之,平識佳秋|深川大輔,ピュアサウンド,白石マミ,中村栄,
1999-10-29,バンプレスト,スーパーロボット大戦64,8,7,SLG,"￥7,800","￥8,000代",12,,,,,,,,
1999-11-05,アルトロン,64花札～天使の約束～,0,1,TBL,"￥6,800","￥7,000代",0,,,,,,,,
1999-11-05,カルチャーブレーン,プロ麻雀「兵」64,1,1,TBL,"￥6,480","￥6,500代",0,,,,,,,,
1999-11-26,エレクトロニック・アーツ・スクウェア,ビートルアドベンチャーレーシング,0,3,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-01,任天堂,スターツインズ,6,7,ACT,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-03,コンパイル,ぷよぷよ～んパーティ,2,2,PZL,"￥5,980","￥6,000代",0,,,,,,,,
1999-12-03,ハドソン,爆ボンバーマン2,2,3,ACT,"￥6,800","￥7,000代",12,,印南好司|杉本悟|吉田直樹(ストーリーモードディレクター),,水野祥司|吉見直人(アシスタントデザイン)|佐藤梢(アシスタントデザイン),光田康典|マユツバ|大槻”KALTA”英宣|弘田佳孝,,,
1999-12-08,任天堂,カスタムロボ,2,3,ACT,"￥6,800","￥7,000代",22,,,,,,,,
1999-12-10,任天堂,ドンキーコング64,4,7,ACT,"￥7,800","￥8,000代",110,,ジョージ・アンドレアス,クリス・サザーランド,マーク・スティーブンソン,グラント・カークホープ,,宮本茂,
1999-12-17,任天堂,マリオパーティ2,2,7,TBL,"￥5,800","￥6,000代",107,,,,,,,,
1999-12-24,タカラ,チョロQ642ハチャメチャグランプリレース,3,2,RCG,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-24,ハドソン,ロボットポンコッツ64七つの海のカラメル,4,7,RPG,"￥6,800","￥7,000代",0,,,,,,,,
1999-12-25,コナミ,ゴエモンもののけ双六,8,3,TBL,"￥7,800","￥8,000代",0,,,,,,,,
1999-12-25,コナミ,悪魔城ドラキュラ黙示録外伝～レジェンドオブコーネル～,2,3,ACT,"￥7,800","￥8,000代",0,,,,,,,,
2000-01-28,アスミック・エース・エンタテインメント,バーチャル・プロレス2～王道継承～,7,7,SPT,"￥6,980","￥7,000代",0,,岩下英幸,工藤正明|中山止禍,竹内淳|今巧巳|池下宗繁|押切良之|勝俣俊介|木村賢司|竹内大地|遠山一仁|西田和希|葉山浩,新倉耕二|菅原幸枝,,梶井健,
2000-01-28,カプコン,バイオハザード2,7,9,ACT+ADV,"￥7,800","￥8,000代",0,,,,,,,,
2000-02-04,ケムコ,トップギア・ラリー2,0,2,RCG,"￥6,980","￥7,000代",0,,,リッチー・ブラナン|アシュリー・ベネット|サイモン・ブレイク,ポール・グレゴリー,バリー・レイッチ(英語版)|増野宏之,,,
2000-03-17,ケムコ,TOPGEARHYPER-BIKE,1,3,RCG,"￥6,980","￥7,000代",0,,,,,,,,
2000-03-24,任天堂,星のカービィ64,7,7,ACT,"￥6,800","￥7,000代",107,,,,,,,,
2000-03-31,任天堂,糸井重里のバス釣りNo.1決定版!,7,3,SPT,"￥6,800","￥7,000代",0,,ふるみまさと|あいかわきょういち,たきぐちあきお|おのせけんいち|たかはしごろう|三津原敏|高橋芳美|みずしまけんいち,斉藤明宏,池上正,,岩田聡|小関昭彦|大和聡,
2000-04-07,エポック社,ガントレットレジェンド,1,3,RPG,"￥6,800","￥7,000代",0,,,,,,,,
2000-04-07,ケムコ,大刀～DAIKATANA～,0,3,ADV,"￥6,980","￥7,000代",0,,,,,,,,
2000-04-21,セタ,井出洋介の麻雀塾,0,2,TBL,"￥5,800","￥6,000代",0,,,,,,,,
2000-04-21,カルチャーブレーン,忍たま乱太郎64ゲームギャラリー,0,1,ADV,"￥6,480","￥6,500代",0,,,,,,,,
2000-04-27,任天堂,ゼルダの伝説ムジュラの仮面,6,7,ACT+RPG,"￥5,800","￥6,000代",60,,青沼英二|小泉歓晃,岩脇敏夫,今村孝矢,近藤浩治|峰岸透,高野充浩,宮本茂,
2000-04-28,ビスコ,BassRush～ECOGEAR,0,6,SLG,"￥7,800","￥8,000代",0,,,,,,,,
2000-04-29,コナミ,実況パワフルプロ野球2000,0,3,SPT,"￥7,800","￥8,000代",27,,,,,,,,
2000-05-26,ビクターインタラクティブソフトウェア,ぬし釣り64～潮風にのって～,0,6,RPG,"￥6,800","￥7,000代",0,,,,,,,,
2000-06-23,任天堂,エキサイトバイク64,4,3,RCG,"￥6,800","￥7,000代",11,,,,,,,,
2000-07-13,コナミ,がんばれ!ニッポン!オリンピック2000,7,2,SPT,"￥7,800","￥8,000代",0,,,,,,,,
2000-07-21,任天堂,マリオテニス64,4,3,SPT,"￥6,800","￥7,000代",110,,,,,,,,
2000-07-28,エポック社,ドラえもん3のび太の町SOS!,4,3,ACT+ADV,"￥6,800","￥7,000代",0,,,,,,,,
2000-08-11,任天堂,マリオストーリー,2,8,ACT+RPG,"￥6,800","￥7,000代",43,,川出亮太,,碧山直彦,辻横由佳,,宮本茂|三木研次,
2000-09-15,アスミック・エース・エンタテインメント,WWFレッスルマニア2000,0,6,SPT,"￥8,800","￥9,000代",0,,岩下英幸,工藤正明|中山止禍|阿部浩之,竹内淳|勝俣俊介|今巧巳|池下宗繁|押切良之|木村賢司|竹内大地|遠山一仁|西田和希|葉山浩,新倉耕二|菅原幸枝,,梶井健|サンダース・キール,
2000-09-27,チュンソフト,不思議ダンジョン風来のシレン2～鬼襲来シレン城～,8,7,RPG,"￥6,800","￥7,000代",28,,,,,,,,
2000-10-21,任天堂,パーフェクトダーク,0,7,SHT,"￥5,800","￥6,000代",10,,,,,,,,
2000-11-10,任天堂,カスタムロボV2,0,3,ACT,"￥6,800","￥7,000代",26,,,,,,,,
2000-11-21,任天堂,罪と罰～地球の継承者～,0,7,SHT,"￥5,800","￥6,000代",0,,,,,,,,
2000-11-22,カプコン,ロックマンDASH鋼の冒険心,0,7,ACT,"￥6,800","￥7,000代",0,,,,,,,,
2000-11-27,任天堂,バンジョーとカズーイの大冒険2,0,7,ACT,"￥6,800","￥7,000代",19,,,,,,,,
2000-11-30,コナミ,DanceDanceRevolutionディズニーダンシングミュージアム,0,5,OTO,"￥7,800","￥8,000代",0,,,,,,,,
2000-12-07,任天堂,マリオパーティ3,0,7,TBL,"￥5,800","￥6,000代",85,,,,,,,,
2000-12-14,任天堂,ポケモンスタジアム金・銀,0,9,ACT,"￥6,800","￥7,000代",114,,清水隆雄,西田泰也,,永田権太|峰岸透|疋野光啓,,宮本茂|三木研次|石原恒和|岩田聡,
2001-01-21,任天堂,ミッキーのレーシングチャレンジUSA,0,7,RCG,"￥6,800","￥7,000代",0,,,,,,,,
2001-03-29,コナミ,実況パワフルプロ野球Basic版2001,0,3,SPT,"￥6,800","￥7,000代",11,,,,,,,,
2001-04-06,カルチャーブレーン,ハムスター物語64,0,2,SLG,"￥6,480","￥6,500代",0,,,,,,,,
2001-04-14,任天堂,どうぶつの森,1,3,ETC,"￥5,800","￥6,000代",21,,江口勝也|野上恒,,,戸高一生(サウンドディレクター)|永田権太(フィールドBGM)|峰岸透(インドアBGM)|田中しのぶ(イベントBGM),,手塚卓志,
2001-08-10,メディアファクトリー,ダービースタリオン64,0,7,SLG,"￥6,800","￥7,000代",0,,,,,,,,
2001-12-20,ハドソン,ボンバーマン64,0,2,ACT,"￥5,800","￥6,000代",0,,,,,,,,
1999-12-11,ランドネットＤＤ,ペイントスタジオ,9,10,ETC,不明,不明,0,,,,,,,,
1999-12-11,ランドネットＤＤ,巨人のドシン1,9,10,ETC,不明,不明,0,,,ジャイルズ・ゴダード,飯田和敏|博林隆夫|岩崎ヒロミチ,浅野達彦|鈴木康行,,宮本茂|木研次,
2000-02-23,任天堂,シムシティ―64,9,10,SLG,不明,不明,0,,,,,,,,
